text,label
"Congratulations! You have been selected as the winner of our grand prize. Click here to claim your $1,000,000 now!",Spam
"URGENT: Your account has been compromised. Verify your identity immediately by clicking this link.",Spam
"You've won a FREE iPhone 15! Just enter your credit card details to cover shipping costs.",Spam
"Act NOW! Limited time offer — get a luxury watch for only $9.99. Don't miss out!",Spam
"Dear friend, I am a prince from a foreign country and I need your help to transfer $5,000,000.",Spam
"Free Viagra and weight loss pills — order now and get 80% off! No prescription needed.",Spam
"Claim your lottery winnings of $500,000 today. Send your bank details to process the transfer.",Spam
"WARNING: Your computer is infected with 47 viruses. Download our free antivirus now!",Spam
"Make $5000 per week working from home! No experience required. Sign up today!",Spam
"You have been chosen for a secret shopper program. Get paid $300 per assignment.",Spam
"Exclusive deal just for you: buy one get ten free on all supplements!",Spam
"Hot singles in your area are waiting to meet you. Click here to start chatting!",Spam
"Your email has won the Microsoft Lottery. Send your personal details to claim.",Spam
"Congratulations! You are our 1,000,000th visitor. Click to claim your prize.",Spam
"Get rich quick with our proven investment strategy. Guaranteed 500% returns!",Spam
"URGENT: We need to verify your PayPal account. Click this link immediately.",Spam
"You have unclaimed money in your name. Contact us with your SSN to retrieve it.",Spam
"Miracle cure discovered! Lose 30 pounds in 30 days without exercise or diet!",Spam
"Dear user, your subscription has been hacked. Send $200 in bitcoin to restore it.",Spam
"FREE GIFT CARD worth $500 — just complete a short survey to redeem!",Spam
"Double your bitcoin investment in 24 hours! Guaranteed profit, zero risk.",Spam
"Your phone number was randomly selected for a cash prize of $10,000. Reply NOW.",Spam
"You are eligible for a government grant of $25,000. No repayment needed. Apply here.",Spam
"FLASH SALE: Rolex watches at 95% off. Only 3 left in stock!",Spam
"Foreign lottery notification: You won €750,000. Send processing fee of $50.",Spam
"Your inheritance of $3.5 million is ready for transfer. Contact our legal department.",Spam
"Secret investment opportunity! Triple your money in one week. Limited spots available.",Spam
"FREE Netflix premium accounts! Share this message with 10 friends to unlock.",Spam
"We noticed suspicious activity on your bank account. Click here to verify your identity immediately.",Spam
"Cheap medications online! No doctor visit required. Overnight delivery available.",Spam
"We are pleased to inform you that your application for the Software Engineer position has been shortlisted.",Job Related
"Thank you for applying to Google. We would like to invite you for a technical interview next week.",Job Related
"Your resume has been reviewed by our HR team. We'd like to schedule a phone screening at your convenience.",Job Related
"Reminder: Your interview with Amazon Web Services is scheduled for Monday at 10 AM.",Job Related
"We are excited to extend a job offer for the position of Data Scientist at our company.",Job Related
"Hi, we saw your LinkedIn profile and think you'd be a great fit for our open ML Engineer role.",Job Related
"Your coding assessment for the Backend Developer position is due by Friday.",Job Related
"We regret to inform you that the position has been filled. We encourage you to apply for future openings.",Job Related
"Congratulations! You have successfully completed all interview rounds. HR will send the offer letter shortly.",Job Related
